City ,City ,Latitude ,Longitude,Country ,Id,Location,State ,NA,Population,NA
Kalyani,Kalyani,22.975,88.4344,India,IN,IND,West Bengal,,100575,1356108133
Gangtok,Gangtok,27.33,88.62,India,IN,IND,Sikkim,admin,100286,1356689564
Tinsukia,Tinsukia,27.4892,95.36,India,IN,IND,Assam,,99507,1356391413
Kohīma,Kohima,25.6667,94.1194,India,IN,IND,Nāgāland,admin,99039,1356332206
Khambhāt,Khambhat,22.3131,72.6194,India,IN,IND,Gujarāt,,98700,1356354348
Aurangābād,Aurangabad,24.7704,84.38,India,IN,IND,Bihār,,95929,1356920493
Dhuliān,Dhulian,24.68,87.97,India,IN,IND,West Bengal,,95706,1356241829
Chākdaha,Chakdaha,23.08,88.52,India,IN,IND,West Bengal,,95203,1356089316
Marmagao,Marmagao,15.402,73.8,India,IN,IND,Goa,,94393,1356764529
Contai,Contai,21.78,87.75,India,IN,IND,West Bengal,,92226,1356643000
Rāyachoti,Rayachoti,14.05,78.75,India,IN,IND,Andhra Pradesh,,91234,1356147853
Kāvali,Kavali,14.9123,79.9944,India,IN,IND,Andhra Pradesh,,90099,1356816305
Mancherāl,Mancheral,18.8679,79.4639,India,IN,IND,Telangana,,89935,1356990383
Kadiri,Kadiri,14.12,78.17,India,IN,IND,Andhra Pradesh,,89429,1356308559
Kairāna,Kairana,29.3953,77.2053,India,IN,IND,Uttar Pradesh,,89000,1356768694
Ootacamund,Ootacamund,11.4086,76.6939,India,IN,IND,Tamil Nādu,,88430,1356809681
Jangipur,Jangipur,24.47,88.07,India,IN,IND,West Bengal,,88165,1356655968
Farīdkot,Faridkot,30.67,74.76,India,IN,IND,Punjab,,87695,1356743545
Madgaon,Madgaon,15.2719,73.9583,India,IN,IND,Goa,,87650,1356337752
Anakāpalle,Anakapalle,17.68,83.02,India,IN,IND,Andhra Pradesh,,86519,1356285975
Garulia,Garulia,22.82,88.37,India,IN,IND,West Bengal,,85336,1356885496
Sirsilla,Sirsilla,18.38,78.83,India,IN,IND,Telangana,,83186,1356360144
Kātoya,Katoya,23.65,88.13,India,IN,IND,West Bengal,,81615,1356487359
Kāmāreddipet,Kamareddipet,18.3167,78.35,India,IN,IND,Telangana,,80315,1356010343
Bolpur,Bolpur,23.67,87.72,India,IN,IND,West Bengal,,80210,1356123985
Gumlā,Gumla,23.0444,84.5417,India,IN,IND,Jharkhand,,80129,1356058585
Simdega,Simdega,22.62,84.52,India,IN,IND,Jharkhand,,80129,1356073158
Kottagūdem,Kottagudem,17.55,80.63,India,IN,IND,Telangana,,79819,1356124457
Tanuku,Tanuku,16.75,81.7,India,IN,IND,Andhra Pradesh,,77962,1356546052
Koch Bihār,Koch Bihar,26.3167,89.4333,India,IN,IND,West Bengal,,77935,1356121274
Bodhan,Bodhan,18.67,77.9,India,IN,IND,Telangana,,77573,1356506985
Karūr,Karur,10.9504,78.0833,India,IN,IND,Tamil Nādu,,76915,1356837900
Baj Baj,Baj Baj,22.4828,88.1818,India,IN,IND,West Bengal,,76837,1356102140
Mangalagiri,Mangalagiri,16.43,80.55,India,IN,IND,Andhra Pradesh,,73613,1356861607
Mārkāpur,Markapur,15.735,79.27,India,IN,IND,Andhra Pradesh,,71092,1356101278
Malaut,Malaut,30.19,74.499,India,IN,IND,Punjab,,70958,1356603442
Bāpatla,Bapatla,15.8889,80.47,India,IN,IND,Andhra Pradesh,,70777,1356828422
Badvel,Badvel,14.75,79.05,India,IN,IND,Andhra Pradesh,,70626,1356145368
Basavakalyān,Basavakalyan,17.87,76.95,India,IN,IND,Karnātaka,,69717,1356923425
Jorhāt,Jorhat,26.75,94.2167,India,IN,IND,Assam,,69033,1356638741
Siuri,Siuri,23.9167,87.5333,India,IN,IND,West Bengal,,67864,1356042495
Bishnupur,Bishnupur,23.0833,87.3167,India,IN,IND,West Bengal,,67783,1356443025
Beypore,Beypore,11.18,75.82,India,IN,IND,Kerala,,66883,1356592326
Koratla,Koratla,18.82,78.72,India,IN,IND,Telangana,,66504,1356581279
Pulivendla,Pulivendla,14.4167,78.2333,India,IN,IND,Andhra Pradesh,,65706,1356099701
Jaisalmer,Jaisalmer,26.9167,70.9167,India,IN,IND,Rājasthān,,65471,1356575402
Tamlūk,Tamluk,22.3,87.9167,India,IN,IND,West Bengal,,65306,1356893735
Alīpur Duār,Alipur Duar,26.5,89.52,India,IN,IND,West Bengal,,65232,1356472105
Kodād,Kodad,16.9978,79.9653,India,IN,IND,Telangana,,64234,1356852582
Tādepalle,Tadepalle,16.4667,80.6,India,IN,IND,Andhra Pradesh,,64149,1356511543
Armūr,Armur,18.79,78.29,India,IN,IND,Telangana,,64023,1356043277
Bankra,Bankra,22.63,88.3,India,IN,IND,West Bengal,,63957,1356096653
Nawalgarh,Nawalgarh,27.85,75.27,India,IN,IND,Rājasthān,,63948,1356085018
Jatani,Jatani,20.17,85.7,India,IN,IND,Odisha,,63697,1356087327
Gadwāl,Gadwal,16.23,77.8,India,IN,IND,Telangana,,63177,1356741221
Nagari,Nagari,13.33,79.58,India,IN,IND,Andhra Pradesh,,62253,1356993418
Jhārgrām,Jhargram,22.45,86.98,India,IN,IND,West Bengal,,61712,1356046912
Wanparti,Wanparti,16.361,78.0627,India,IN,IND,Telangana,,60949,1356934970
Chāmrājnagar,Chamrajnagar,11.9236,76.94,India,IN,IND,Karnātaka,,60810,1356007832
Chandralapādu,Chandralapadu,16.715,80.2089,India,IN,IND,Andhra Pradesh,,59943,1356193821
Ponnūru,Ponnuru,16.0667,80.5667,India,IN,IND,Andhra Pradesh,,59913,1356219968
Vinukonda,Vinukonda,16.05,79.75,India,IN,IND,Andhra Pradesh,,59725,1356819642
Itānagar,Itanagar,27.1,93.62,India,IN,IND,Arunāchal Pradesh,admin,59490,1356023817
Tezpur,Tezpur,26.6338,92.8,India,IN,IND,Assam,,58851,1356299437
Narasapur,Narasapur,16.4333,81.6833,India,IN,IND,Andhra Pradesh,,58770,1356412895
Pānskura,Panskura,22.42,87.7,India,IN,IND,West Bengal,,57932,1356744342
Rāmpur Hat,Rampur Hat,24.17,87.78,India,IN,IND,West Bengal,,57833,1356074159
Lonāvale,Lonavale,18.7481,73.4072,India,IN,IND,Mahārāshtra,,57698,1356087772
Kothāpet,Kothapet,19.3333,79.4833,India,IN,IND,Telangana,,57583,1356072921
Mācherla,Macherla,16.48,79.43,India,IN,IND,Andhra Pradesh,,57290,1356348515
Kandukūr,Kandukur,15.2165,79.9042,India,IN,IND,Andhra Pradesh,,57246,1356179414
Sāmalkot,Samalkot,17.0531,82.1695,India,IN,IND,Andhra Pradesh,,56864,1356044530
Bobbili,Bobbili,18.5729,83.3587,India,IN,IND,Andhra Pradesh,,56819,1356820046
Kālna,Kalna,23.22,88.37,India,IN,IND,West Bengal,,56722,1356051768
Sattenapalle,Sattenapalle,16.3962,80.1497,India,IN,IND,Andhra Pradesh,,56721,1356153330
Vrindāvan,Vrindavan,27.5728,77.6933,India,IN,IND,Uttar Pradesh,,56618,1356168243
Gangārāmpur,Gangarampur,25.4,88.52,India,IN,IND,West Bengal,,56217,1356994707
Mandapeta,Mandapeta,16.87,81.93,India,IN,IND,Andhra Pradesh,,56063,1356648879
Pithorāgarh,Pithoragarh,29.58,80.22,India,IN,IND,Uttarakhand,,56044,1356198469
Belampalli,Belampalli,19.0558,79.4931,India,IN,IND,Telangana,,55841,1356972240
Kāndi,Kandi,23.95,88.03,India,IN,IND,West Bengal,,55632,1356979141
Bhīmunipatnam,Bhimunipatnam,17.8864,83.4471,India,IN,IND,Andhra Pradesh,,55082,1356889289
Nāndod,Nandod,21.8704,73.5026,India,IN,IND,Gujarāt,,54923,1356800561
Pithāpuram,Pithapuram,17.1167,82.2667,India,IN,IND,Andhra Pradesh,,54859,1356440541
Punganūru,Punganuru,13.3667,78.5833,India,IN,IND,Andhra Pradesh,,54746,1356796945
Mūndka,Mundka,28.6794,77.0284,India,IN,IND,Delhi,,54541,1356773697
Islāmpur,Islampur,26.27,88.2,India,IN,IND,West Bengal,,54340,1356028148
Puttūr,Puttur,13.45,79.55,India,IN,IND,Andhra Pradesh,,54092,1356396930
Jalor,Jalor,25.35,72.6167,India,IN,IND,Rājasthān,,54081,1356488284
Palmaner,Palmaner,13.2,78.75,India,IN,IND,Andhra Pradesh,,54035,1356813856
Dholka,Dholka,22.72,72.47,India,IN,IND,Gujarāt,,53792,1356709185
Kāliyāganj,Kaliyaganj,25.63,88.32,India,IN,IND,West Bengal,,53530,1356116477
Jaggayyapeta,Jaggayyapeta,16.892,80.0976,India,IN,IND,Andhra Pradesh,,53530,1356537421
Tuni,Tuni,17.35,82.55,India,IN,IND,Andhra Pradesh,,53425,1356073049
Amalāpuram,Amalapuram,16.5833,82.0167,India,IN,IND,Andhra Pradesh,,53231,1356997622
Vikārābād,Vikarabad,17.33,77.9,India,IN,IND,Telangana,,53143,1356904767
Bāruipur,Baruipur,22.3654,88.4325,India,IN,IND,West Bengal,,53128,1356275520
Venkatagiri,Venkatagiri,13.9667,79.5833,India,IN,IND,Andhra Pradesh,,52688,1356644043
Sihor,Sihor,21.7,71.97,India,IN,IND,Gujarāt,,52603,1356675162
Badūria,Baduria,22.74,88.79,India,IN,IND,West Bengal,,52493,1356034082
Jangaon,Jangaon,17.72,79.18,India,IN,IND,Telangana,,52394,1356403400
